('P0', 'id');('P1_a ', 'Idade');('P1_b ', 'Genero');('P1_e ', 'experiencia_profissional_prejudicada');EXPERIÊNCIA PREJUDICADA SIM OU NAO;('P2_d ', 'Gestor?');('P2_f ', 'Cargo Atual');AGRUPAMENTO CARGOS;('P2_h ', 'Faixa salarial');MÉDIA FAIXA SALARIAL;('P2_g ', 'Nivel');NÍVEL COM NÚMEROS ORDINAIS;('P2_k ', 'Você está satisfeito na sua empresa atual?');('P2_n ', 'Você pretende mudar de emprego nos próximos 6 meses?');PRETENDE SAIR SIM OU NAO - TARGET;('P2_r ', 'Atualmente qual a sua forma de trabalho?');('P2_s ', 'Qual a forma de trabalho ideal para você?');ESTOU NO TRABALHO IDEAL?
ls3flecj0orf8ajpjopsls3flecm16ol;37;Feminino;Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia, Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero;1;1;;Não informado;de R$ 8.001/mês a R$ 12.000/mês;10000;;1;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo 100% remoto;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
ls82tyy2h7xlsj3ntls82tysb7gn7bje;43;Masculino;;0;1;;Não informado;de R$ 25.001/mês a R$ 30.000/mês;27500;;1;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo 100% remoto;Modelo 100% remoto;1
lt4q49puo0zebxolt4q49czfi0xykpjb;31;Masculino;;0;1;;Não informado;de R$ 8.001/mês a R$ 12.000/mês;10000;;1;0;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo 100% remoto;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
ltf2y0qidtmb8jd1d07ltf2yupatbl4e;32;Masculino;Não acredito que minha experiência profissional seja afetada devido a esses fatores;0;;;Não informado;;0;;0;;;1;;;1
ltm3xhifib29otzdjwpltm393vwnguew;41;Masculino;Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia;1;0;Analista de BI/BI Analyst;Análise de Dados;de R$ 4.001/mês a R$ 6.000/mês;5000;Sênior;2;1;Estou em busca de oportunidades dentro ou fora do Brasil;1;Modelo 100% remoto;Modelo 100% presencial;0
ltqbnvnqmj4glf3nhbx2ltqbnv7duld4;26;Masculino;;0;0;Cientista de Dados/Data Scientist;Análise de Dados;de R$ 8.001/mês a R$ 12.000/mês;10000;Sênior;2;1;Estou em busca de oportunidades, mas apenas fora do Brasil;1;Modelo 100% remoto;Modelo 100% remoto;1
ltx4gvqxseib4ps3rh706yltx4gvqios;40;Feminino;Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero;1;1;;Não informado;de R$ 16.001/mês a R$ 20.000/mês;18000;;1;1;Estou em busca de oportunidades dentro ou fora do Brasil;1;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);1
lu84u1c749s7y2bexqlu8msrp73kk648;29;Feminino;Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero;1;0;Cientista de Dados/Data Scientist;Análise de Dados;de R$ 8.001/mês a R$ 12.000/mês;10000;Pleno;1;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo híbrido com dias fixos de trabalho presencial;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
lu8mfw10o4g3t2bmlu8mf5h0m4thxdlz;36;Masculino;;0;0;Analista de Dados/Data Analyst;Análise de Dados;de R$ 6.001/mês a R$ 8.000/mês;7000;Sênior;2;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo 100% remoto;Modelo 100% remoto;1
lugjbmsulqw3385blugjalwi3uloz5sy;33;Masculino;Não acredito que minha experiência profissional seja afetada devido a esses fatores;0;0;Cientista de Dados/Data Scientist;Análise de Dados;de R$ 6.001/mês a R$ 8.000/mês;7000;Pleno;1;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo 100% presencial;Modelo híbrido com dias fixos de trabalho presencial;0
lullc2u5kb9718boulull4oulsfi8mam;29;Masculino;Não acredito que minha experiência profissional seja afetada devido a esses fatores;0;0;Cientista de Dados/Data Scientist;Análise de Dados;de R$ 16.001/mês a R$ 20.000/mês;18000;Sênior;2;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo híbrido com dias fixos de trabalho presencial;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
