('P1_a ', 'Idade');GENERO binário;EXPERIÊNCIA PREJUDICADA SIM OU NAO;CARGOS numéricamente;MÉDIA FAIXA SALARIAL;NÍVEL COM NÚMEROS ORDINAIS;('P2_k ', 'Você está satisfeito na sua empresa atual?');PRETENDE SAIR SIM OU NAO - TARGET;ESTOU NA FORMA DE TRABALHO IDEAL?
32;1;0;1;18000;2;1;0;1
20;1;0;1;1500;0;1;1;0
25;1;0;1;3500;0;1;1;0
22;1;0;1;1500;0;0;1;0
31;1;0;1;3500;1;1;1;1
23;1;0;9;5000;0;1;1;1
31;1;0;4;18000;2;1;1;1
20;1;0;1;3500;0;1;1;0
34;1;0;4;5000;1;1;0;0
29;0;1;1;1500;0;0;1;0
20;1;0;1;500;0;1;1;0
32;1;0;4;14000;2;1;1;0
37;0;0;1;10000;0;1;1;1
28;1;0;7;5000;2;0;1;1
31;1;0;1;14000;2;1;1;0
29;1;0;1;18000;2;1;1;1
27;0;1;1;7000;0;1;1;1
28;1;1;4;14000;2;0;1;1
25;1;0;4;5000;0;1;0;1
30;0;0;5;14000;2;0;1;0
25;1;0;4;10000;0;0;1;0
34;1;1;1;10000;1;0;1;1
44;1;1;9;1500;0;0;1;0
30;1;0;5;1500;1;0;1;0
23;1;0;1;3500;0;1;1;0
26;1;1;1;5000;0;0;1;1
27;0;1;1;3500;1;0;1;1
32;1;0;1;5000;1;1;1;1
36;1;0;3;7000;2;0;1;0
34;1;0;1;3500;1;0;1;0
28;1;0;4;10000;1;0;1;0
27;0;1;1;5000;0;1;1;1
31;0;0;9;10000;2;1;0;0
23;1;0;1;5000;0;1;1;0
24;1;0;1;2500;1;1;1;0
25;FALSO;0;6;7000;1;1;1;1
24;1;0;1;7000;1;1;1;0
27;0;1;1;5000;1;1;1;1
28;1;0;1;14000;2;0;1;0
32;1;0;4;22500;2;1;1;0
34;1;0;1;7000;2;1;0;1
30;1;0;6;14000;1;1;1;1
28;1;0;4;22500;2;1;1;1
27;1;0;7;10000;2;1;1;1
40;1;0;0;14000;2;1;1;0
28;1;0;1;2500;0;1;1;1
