"('P0', 'id')","('P1_b ', 'Genero')","('P1_f_1', 'Quantidade de oportunidades de emprego/vagas recebidas')","('P1_i ', 'Estado onde mora')","('P2_f ', 'Cargo Atual')"
0pg37xsvnaoyqvibr0pg378z2eg4lpcz,Masculino,,São Paulo (SP),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
0piaidcw03f691i4cdc0piaid7bp0tpd,Masculino,,Minas Gerais (MG),Outra Opção
0porhlvirmnbqihbq0f0porhli93zl7v,Masculino,,Santa Catarina (SC),Cientista de Dados/Data Scientist
0q472yy1a4ua38hg0q42byo044ngq1sb,Feminino,0.0,Paraná (PR),
0qhsqn12j7yapjr3ny0qhsqnfkqqygsm,Feminino,0.0,São Paulo (SP),Analytics Engineer
0qio4frn8vyn5lyoev0qio4uhal1fitk,Masculino,,São Paulo (SP),Analista de Negócios/Business Analyst
0r46flon90jl4hvi0r46flwm5jfomrq3,Feminino,,Paraná (PR),Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO)
0rchsejnsxoklvzbq790rchsejne0bpi,Masculino,,Minas Gerais (MG),
0rcm0gxoact3bzh06knd13ubjeo64v14,Masculino,,Rio Grande do Sul (RS),Analista de Dados/Data Analyst
0rjkvzh2lso0ry6omu8uk030mxjr0q6f,Feminino,,Rio Grande do Sul (RS),Analista de Dados/Data Analyst
0rvvo787yq3mthe5ga0rvvh4rbm4u4gc,Feminino,1.0,Espírito Santo (ES),Cientista de Dados/Data Scientist
0rzo8uhs2710bhyk0rzo8up4313jz70o,Feminino,1.0,São Paulo (SP),Analista de Dados/Data Analyst
0s15dzpqa7lus1ast0s1578mskf2illz,Masculino,,Paraná (PR),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
0s7x7lc2foi894m6pogxa0s7x7ltfytz,Masculino,,Paraná (PR),Analista de Dados/Data Analyst
0saxujz921fw22ii6pq0saxff4o4ykqm,Feminino,1.0,Piauí (PI),Estatístico
0sb17993f17dly32q0sb17m6cgr8m8fg,Masculino,,Minas Gerais (MG),
0sg4y3cvdcrbe0sgrq7glk1l8ky7rrq7,Masculino,,,Analista de Dados/Data Analyst
0sw1v2544zjyapntd00sw6qtn1mommv9,Masculino,1.0,São Paulo (SP),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
0t14vkhnpaohc7nvnli0t14lryhv5mz3,Masculino,,Espírito Santo (ES),Analista de Dados/Data Analyst
0t33h6p5dhvgrz7e2vr0t33h6pxixdye,Feminino,,Minas Gerais (MG),
0tcnmlmc7ue14l3fz6im8tb20tcnmlmc,Masculino,,São Paulo (SP),
0tdknv0eelzci9e0jl1z5j0tdknft4xm,Feminino,0.0,,
0tfplcdk2bzhdl40tfplcfu3vgiv4k4x,Masculino,,Espírito Santo (ES),
0tx7atz5i766r431a00v0tx7atz7xanx,Masculino,,São Paulo (SP),Analista de BI/BI Analyst
0u56ftri7si1mms0u56foo9gircbx9mq,Feminino,,São Paulo (SP),Outra Opção
0u70ebhsoogwg3qdnb20u7kldlweuu0x,Masculino,1.0,Rio de Janeiro (RJ),Analista de Suporte/Analista Técnico
0u8dg2d8bx62ivly0u8dor091dix01of,Masculino,,Rio Grande do Sul (RS),
0u9ldjdnpdo5ajqnplj9khr0u9ldjdnv,Masculino,,Minas Gerais (MG),Analista de BI/BI Analyst
0ueqxxqa5mevx9duao0ueqxxq0ulfwgw,Masculino,,Paraná (PR),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
0ug15cqzpnzj5gms1zvag0ug15cn7cev,Masculino,,São Paulo (SP),Analista de BI/BI Analyst
0uouqjo6urvaxld80uouqvcm2jmmxov2,Masculino,,Rio de Janeiro (RJ),Outra Opção
0uu3nbepriafwglatf0uu3nacwlxd4cq,Feminino,1.0,Paraná (PR),
0uvu1sve8rza2llcm8uvwt0uvu1ss9et,Masculino,,Paraíba (PB),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
0v1mo9fgrmkv7bl0v1m5jz71imbv4mkb,Masculino,,Rio Grande do Sul (RS),Analista de BI/BI Analyst
0vfvke194lwuj970vfv96lxbl2447ai4,Masculino,0.0,São Paulo (SP),
0w0cx6th9989gcfjxxvpjr50w0cx6osv,Masculino,,São Paulo (SP),
0w1a415gtbb7rn1f94fg0w1a41lfh6zg,Masculino,1.0,São Paulo (SP),Cientista de Dados/Data Scientist
0wdf4wluf18nbjw0wdfkifzzt327p0h0,Masculino,,São Paulo (SP),Analista de BI/BI Analyst
0wnabz1pd1i2skai960w2due9g3hw4t7,Feminino,0.0,São Paulo (SP),Analista de BI/BI Analyst
0xic84omxpd7ptjgan0xic84o5sn3174,Masculino,,Espírito Santo (ES),Cientista de Dados/Data Scientist
0xqcwc3bly5khkbd0xqcd3nmpmgdu93o,Masculino,,Rio Grande do Sul (RS),Outra Opção
0xxbaszfifvkoirez0xxbagbvlpl5ikp,Masculino,,São Paulo (SP),Cientista de Dados/Data Scientist
0xydkaoabyz42pr87cv0xydkb2rxr2o8,Masculino,,Ceará (CE),Cientista de Dados/Data Scientist
0yuwrhed0dsnrkdgy5n0yuwrhdx09xly,Masculino,,,
0zr4jo7c2j6hk60zr5ka7i9gysbve324,Masculino,,São Paulo (SP),Analista de BI/BI Analyst
0zutq4iuaabxdj4q77fe0zutq4pw7zd6,Masculino,,São Paulo (SP),Analista de Dados/Data Analyst
1041gdt9zsprkuhskoh1041gdf2lyrcu,Masculino,,São Paulo (SP),Analista de Negócios/Business Analyst
108oba89pnj2vj13wc108oba8dwaloha,Masculino,,Paraná (PR),
1090quptpl5ltqvdun1090oc8ei3abyj,Masculino,,Ceará (CE),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
10aklxjm370kfjsh19k10aklxmhmdj18,Feminino,1.0,Rio de Janeiro (RJ),
10cadv3wxu1tjhhijcmv10cadv31hon9,Masculino,,São Paulo (SP),Cientista de Dados/Data Scientist
10cxvir35zl4k2ok310cxvrssym5ibl8,Masculino,,Paraná (PR),
10dnjhmee38ptlv5hqa10dnjhphm8qz3,Masculino,,São Paulo (SP),Analytics Engineer
10e2hm1phj9fnex6h41o10e2hm1g31wu,Masculino,,São Paulo (SP),Analista de Dados/Data Analyst
10xdbt4r9gktvzbqrmwd10xdbt4wled2,Masculino,0.0,Minas Gerais (MG),Cientista de Dados/Data Scientist
116s5nak5kqnsbwcdk116s5nkb74bm0z,Masculino,,Bahia (BA),Analista de Dados/Data Analyst
1198xepjqbuirv11fxa1r1z580rjapef,Feminino,0.0,Minas Gerais (MG),Cientista de Dados/Data Scientist
11spvbrxdvg5xs6ed5270011spvbtlhr,Masculino,,Piauí (PI),
11udubqs3zeo7tn4w1j11udubnwdqfzb,Masculino,1.0,Mato Grosso do Sul (MS),Outras Engenharias (não inclui dev)
11xquwcmiftv3nll3vgfo11xqur6q9bl,Masculino,,Rio de Janeiro (RJ),Outras Engenharias (não inclui dev)
126yz6b1bsew48gpk5126yz6biautykg,Masculino,,Alagoas (AL),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
12jswjlwmvnidm7812jspqw3wds7xk28,Masculino,,São Paulo (SP),Analista de Dados/Data Analyst
12q6hrvkx5qek0bx3t12q6hkcu93gdcu,Masculino,,Espírito Santo (ES),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
12zfxl4ggmd69z6uhift12zfxl4yuxrq,Masculino,,Santa Catarina (SC),Analista de Negócios/Business Analyst
139a9b9k3i4qexcsz139a9b9gqnrhjjm,Masculino,1.0,São Paulo (SP),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
13b86zuxsf6u17ssqxhp13b86z05aoz8,Masculino,0.0,Rio de Janeiro (RJ),Analista de Suporte/Analista Técnico
13zpaoxakvy6cslxkzk13zpc3o00g0w9,Feminino,0.0,Paraná (PR),Analista de Negócios/Business Analyst
13zxa6szv61zft5wcf13zxa6szx094cx,Feminino,1.0,Pernambuco (PE),
143kovv42rj143ko4i6qxokr97wxxq8w,Masculino,,São Paulo (SP),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
149vacrvzcpxtsjj1aj8v2ti149vacrv,Masculino,,Rio Grande do Sul (RS),Outra Opção
14o1sjfwr21125mb39v14o1sj5gipig0,Masculino,,Santa Catarina (SC),Analista de Dados/Data Analyst
14o6uo0ipq94b25714ocmfj81uo5bx13,Masculino,,Paraná (PR),Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO)
14taj3sil040z409ab14taj18aqwflw2,Feminino,0.0,São Paulo (SP),Analista de Inteligência de Mercado/Market Intelligence
150n2wvf0ynssn3lolep150n2wvfwppi,Masculino,,Santa Catarina (SC),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
15sf3jss4mcvp8pywzv515sf3j2ew5jk,Masculino,,São Paulo (SP),
15sjomi7artoobet15sj5jeffud0ra0y,Masculino,,Paraná (PR),Cientista de Dados/Data Scientist
16ds4kue2s2iwqamfxqv16ds4ue32z6b,Feminino,1.0,Paraíba (PB),Analista de BI/BI Analyst
