Idade,Genero,Cor/raca/etnia,PCD,Oportunidade de Progressão de Carreira,UF,Regiao onde mora,Nivel de Ensino,Area de Formação,Situação atual de Trabalho,Setor,Cargo,Nivel,Forma de Trabalho,Atuação
22,Masculino,Branca,Não,,SP,Sudeste,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Varejo,Analista de Dados/Data Analyst,Pleno,Modelo híbrido com dias fixos de trabalho presencial,Análise de Dados
39,Masculino,Parda,Não,0.0,GO,Centro-oeste,Pós-graduação,Marketing / Publicidade / Comunicação / Jornalismo,Empregado (CLT),Varejo,Analista de BI/BI Analyst,Júnior,Modelo 100% remoto,Análise de Dados
34,Feminino,Branca,Não,0.0,PE,Nordeste,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Varejo,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Sênior,Modelo 100% remoto,Engenharia de Dados
23,Masculino,Branca,Não,,,,Prefiro não informar,,Estagiário,Tecnologia/Fábrica de Software,Cientista de Dados/Data Scientist,Júnior,Modelo híbrido com dias fixos de trabalho presencial,Ciência de Dados
29,Masculino,Preta,Não,0.0,DF,Centro-oeste,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Finanças ou Bancos,Analytics Engineer,Sênior,Modelo 100% remoto,Engenharia de Dados
25,Feminino,Branca,Não,1.0,SP,Sudeste,Graduação/Bacharelado,Outra opção,Empregado (CLT),Marketing,Outra Opção,Júnior,Modelo 100% presencial,Outra atuação
26,Feminino,Branca,Não,0.0,PR,Sul,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Varejo,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Pleno,Modelo 100% remoto,Engenharia de Dados
27,Masculino,Preta,Não,0.0,PE,Nordeste,Graduação/Bacharelado,Outras Engenharias,Vivo no Brasil e trabalho remoto para empresa de fora do Brasil,Finanças ou Bancos,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Sênior,Modelo 100% remoto,Engenharia de Dados
27,Masculino,Branca,Não,,SP,Sudeste,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Estagiário,Finanças ou Bancos,Cientista de Dados/Data Scientist,Júnior,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Ciência de Dados
24,Masculino,Branca,Não,,SP,Sudeste,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Estagiário,Área da Saúde,Analista de BI/BI Analyst,Júnior,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Análise de Dados
22,Masculino,Branca,Não,,MG,Sudeste,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Estagiário,Finanças ou Bancos,Analista de Dados/Data Analyst,Júnior,Modelo 100% presencial,Análise de Dados
29,Masculino,Preta,Não,0.0,ES,Sudeste,Mestrado,Outras Engenharias,Empregado (CLT),Finanças ou Bancos,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Pleno,Modelo 100% remoto,Engenharia de Dados
32,Masculino,Branca,Não,,RS,Sul,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Finanças ou Bancos,Cientista de Dados/Data Scientist,Sênior,Modelo 100% remoto,Engenharia de Dados
38,Feminino,Branca,Não,,ES,Sudeste,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Indústria,Outra Opção,Sênior,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Outra atuação
62,Masculino,Parda,Não,0.0,SP,Sudeste,Não tenho graduação formal,,Desempregado e não estou buscando recolocação,,,,,Outra atuação
