Idade,Genero,Cor/raca/etnia,PCD,Oportunidade de Progressão de Carreira,UF,Regiao onde mora,Nivel de Ensino,Area de Formação,Situação atual de Trabalho,Setor,Cargo,Nivel,Forma de Trabalho,Atuação
38,1,0,0,0,6,4,3,3,0,19,10,0,2,1
24,1,0,0,1,23,3,2,1,0,3,1,0,0,1
25,1,0,0,0,18,2,2,7,0,19,10,2,2,1
29,1,0,0,1,7,2,3,7,0,19,1,1,0,1
24,1,0,0,0,24,2,2,6,2,19,10,0,2,0
32,0,3,0,1,18,2,2,1,0,14,0,2,0,1
31,1,2,0,0,24,2,4,0,0,19,10,2,0,0
24,0,3,0,0,4,1,2,2,0,19,10,1,2,0
34,1,1,0,1,19,1,5,8,0,10,10,1,2,0
30,1,0,0,0,12,2,3,0,0,7,14,2,2,2
50,0,3,0,0,18,2,3,2,0,11,8,2,1,1
26,0,1,0,1,6,4,2,0,0,16,11,1,2,1
19,1,0,0,0,24,2,1,0,2,19,0,0,0,1
27,1,3,0,0,24,2,2,2,0,3,10,1,2,0
27,1,1,0,0,18,2,3,1,2,13,1,0,0,1
31,1,0,0,1,24,2,4,0,0,19,6,1,2,2
31,1,0,0,0,15,3,4,8,0,7,0,0,2,1
30,0,1,0,1,3,0,4,8,0,5,16,2,2,0
32,1,0,0,0,18,2,3,3,4,3,3,1,2,3
31,0,0,1,1,7,2,3,7,0,3,6,0,2,1
39,0,3,0,0,6,4,3,0,4,2,6,2,2,2
26,1,0,0,0,6,4,2,2,0,5,10,1,2,0
29,1,1,0,1,24,2,3,6,0,6,0,1,2,1
36,0,3,0,1,24,2,5,8,0,3,10,2,0,1
32,1,1,0,1,12,2,3,0,0,3,10,2,2,0
26,1,0,0,1,24,2,1,7,0,19,4,1,2,1
28,1,0,0,0,11,4,3,7,0,19,4,0,2,1
24,0,1,0,0,24,2,1,0,0,14,4,0,2,1
31,0,1,0,0,18,2,2,2,0,6,0,0,2,1
29,0,3,0,0,7,2,1,0,1,14,1,1,1,1
34,1,1,0,1,4,1,2,1,0,3,3,1,2,1
39,0,3,0,0,20,3,3,0,0,19,6,2,2,2
25,1,0,0,0,4,1,2,0,0,19,6,1,2,2
32,1,0,0,0,20,3,5,0,2,10,6,0,1,2
26,1,0,0,1,5,1,1,7,0,19,1,1,0,1
24,1,0,0,0,18,2,4,7,0,11,0,2,0,1
32,1,0,0,0,24,2,3,3,0,19,3,1,0,1
27,1,3,0,1,16,1,2,5,1,3,1,0,2,1
34,1,3,0,1,20,3,3,7,0,19,6,0,0,2
30,1,0,0,1,15,3,3,7,0,19,4,1,0,1
27,1,0,0,1,24,2,3,6,0,19,4,0,0,1
27,1,1,0,0,12,2,2,0,0,14,16,1,2,3
32,1,3,0,0,24,2,2,5,2,14,4,0,2,1
31,1,3,0,1,12,2,2,0,0,7,1,2,2,1
30,0,1,0,0,5,1,4,7,0,10,10,1,0,0
44,0,3,0,0,24,2,3,0,0,3,5,1,2,1
37,1,1,0,1,24,2,3,0,0,19,14,2,0,3
28,0,3,0,1,24,2,2,7,0,7,1,0,2,1
22,1,3,0,1,14,1,2,0,1,3,6,0,2,2
31,1,0,0,1,24,2,2,1,0,5,14,1,2,1
33,1,0,0,1,5,1,4,2,0,5,10,2,2,0
34,0,3,1,0,6,4,2,7,3,2,16,2,2,0
28,1,0,0,1,24,2,4,5,2,3,7,0,2,1
27,0,3,0,0,24,2,2,0,0,3,0,1,2,0
27,1,0,0,1,24,2,2,3,0,9,0,1,2,1
36,1,0,0,1,18,2,4,8,0,3,6,1,2,2
22,1,0,0,0,24,2,2,7,0,7,0,0,1,1
27,1,0,0,1,12,2,2,7,0,3,14,2,0,3
44,1,1,0,1,24,2,2,3,0,14,7,0,2,2
29,1,0,0,0,20,3,3,0,0,19,6,2,0,2
40,1,0,0,1,24,2,3,1,0,19,14,2,0,1
36,0,3,0,0,24,2,3,0,0,19,6,1,0,2
34,1,3,0,0,16,1,3,3,0,2,11,0,0,1
36,1,5,0,1,12,2,3,7,0,19,6,2,2,2
40,1,3,0,1,24,2,4,0,0,5,0,2,2,1
36,1,3,0,0,18,2,3,6,0,3,4,0,2,1
61,1,0,0,0,12,2,3,1,3,19,3,1,1,3
26,1,0,0,0,15,3,2,0,0,5,0,2,0,1
29,0,3,0,0,18,2,3,1,0,3,0,0,2,1
29,1,1,0,1,12,2,4,7,0,11,10,1,2,0
31,1,0,0,0,23,3,3,4,4,9,0,2,2,1
34,1,2,0,1,24,2,2,7,1,3,0,0,2,1
34,1,0,0,1,24,2,3,0,0,3,6,2,2,2
26,1,0,0,0,16,1,3,1,0,10,1,1,0,1
32,1,2,0,1,12,2,3,3,0,6,3,1,2,1
24,1,0,0,1,24,2,1,0,0,5,6,0,2,2
27,1,0,0,1,15,3,2,7,0,19,0,1,0,1
