('P1_a ', 'Idade');('P1_a_1 ', 'Faixa idade');('P1_b ', 'Genero');('P1_c ', 'Cor/raca/etnia');('P1_f ', 'aspectos_prejudicados');;;;('P1_f_4', 'Oportunidades de progressão de carreira');('P1_f_5', 'Velocidade de progressão de carreira');('P1_i ', 'Estado onde mora');('P1_i_1 ', 'uf onde mora');('P1_i_2 ', 'Regiao onde mora');('P2_a ', 'Qual sua situação atual de trabalho?');('P2_b ', 'Setor');('P2_f ', 'Cargo Atual');('P2_l ', 'Qual o principal motivo da sua insatisfação com a empresa atual?');('P2_l_1 ', 'Falta de oportunidade de crescimento no emprego atual');('P2_r ', 'Atualmente qual a sua forma de trabalho?');('P4_a_1 ', 'Atuacao')
22;22-24;Masculino;Branca;;;;;;;São Paulo (SP);SP;Sudeste;Empregado (CLT);Varejo;Analista de Dados/Data Analyst;;;Modelo híbrido com dias fixos de trabalho presencial;Análise de Dados
39;35-39;Masculino;Parda;Atenção dada pelas pessoas diante das minhas opiniões e ideias;;;;0;0;Goiás (GO);GO;Centro-oeste;Empregado (CLT);Varejo;Analista de BI/BI Analyst;;;Modelo 100% remoto;Análise de Dados
34;30-34;Feminino;Branca;Velocidade de progressão de carreira, Nível de cobrança no trabalho / Stress no trabalho;;;;0;1;Pernambuco (PE);PE;Nordeste;Empregado (CLT);Varejo;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;;;Modelo 100% remoto;Engenharia de Dados
23;22-24;Masculino;Branca;;;;;;;;;;Estagiário;Tecnologia/Fábrica de Software;Cientista de Dados/Data Scientist;;;Modelo híbrido com dias fixos de trabalho presencial;Ciência de Dados
29;25-29;Masculino;Preta;Quantidade de oportunidades de emprego/vagas recebidas, Senioridade das vagas recebidas em relação à sua experiência, Velocidade de progressão de carreira, Atenção dada pelas pessoas diante das minhas opiniões e ideias, Relação com outros membros da empresa, em momentos de integração e outros momentos fora do trabalho;;;;0;1;Distrito Federal (DF);DF;Centro-oeste;Empregado (CLT);Finanças ou Bancos;Analytics Engineer;;;Modelo 100% remoto;Engenharia de Dados
25;25-29;Feminino;Branca;Senioridade das vagas recebidas em relação à sua experiência, Oportunidades de progressão de carreira, Velocidade de progressão de carreira, Atenção dada pelas pessoas diante das minhas opiniões e ideias, Relação com outros membros da empresa, em momentos de trabalho;;;;1;1;São Paulo (SP);SP;Sudeste;Empregado (CLT);Marketing;Outra Opção;Falta de oportunidade de crescimento no emprego atual, Salário atual não corresponde ao mercado;1;Modelo 100% presencial;Outra atuação
26;25-29;Feminino;Branca;Senioridade das vagas recebidas em relação à sua experiência, Atenção dada pelas pessoas diante das minhas opiniões e ideias;;;;0;0;Paraná (PR);PR;Sul;Empregado (CLT);Varejo;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;;;Modelo 100% remoto;Engenharia de Dados
27;25-29;Masculino;Preta;Relação com outros membros da empresa, em momentos de trabalho;;;;0;0;Pernambuco (PE);PE;Nordeste;Vivo no Brasil e trabalho remoto para empresa de fora do Brasil;Finanças ou Bancos;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;;;Modelo 100% remoto;Engenharia de Dados
27;25-29;Masculino;Branca;;;;;;;São Paulo (SP);SP;Sudeste;Estagiário;Finanças ou Bancos;Cientista de Dados/Data Scientist;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Ciência de Dados
24;22-24;Masculino;Branca;;;;;;;São Paulo (SP);SP;Sudeste;Estagiário;Área da Saúde;Analista de BI/BI Analyst;Falta de oportunidade de crescimento no emprego atual, Gostaria de trabalhar em em outra área de atuação, Falta de maturidade analítica na empresa;1;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Análise de Dados
