('P1_a ', 'Idade');('P1_a_1 ', 'Faixa idade');('P1_b ', 'Genero');('P1_c ', 'Cor/raca/etnia');('P1_f ', 'aspectos_prejudicados');;;;('P1_f_4', 'Oportunidades de progressão de carreira');('P1_f_5', 'Velocidade de progressão de carreira');('P1_i ', 'Estado onde mora');('P1_i_1 ', 'uf onde mora');('P1_i_2 ', 'Regiao onde mora');('P2_a ', 'Qual sua situação atual de trabalho?');('P2_b ', 'Setor');('P2_f ', 'Cargo Atual');('P2_l ', 'Qual o principal motivo da sua insatisfação com a empresa atual?');('P2_l_1 ', 'Falta de oportunidade de crescimento no emprego atual');('P2_r ', 'Atualmente qual a sua forma de trabalho?');('P4_a_1 ', 'Atuacao')
36;35-39;Masculino;Prefiro não informar;;;;;;;Rio Grande do Sul (RS);RS;Sul;Empreendedor ou Empregado (CNPJ);Indústria;Analista de BI/BI Analyst;;;Modelo 100% presencial;Análise de Dados
26;25-29;Masculino;Branca;;;;;;;;;;Trabalho na área Acadêmica/Pesquisador;;;;;;Outra atuação
28;25-29;Feminino;Branca;;;;;;;Paraná (PR);PR;Sul;Empregado (CLT);Outra Opção;Analista de BI/BI Analyst;;;Modelo 100% remoto;Análise de Dados
42;40-44;Masculino;Branca;;;;;;;São Paulo (SP);SP;Sudeste;Empregado (CLT);Indústria;Analista de Dados/Data Analyst;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Engenharia de Dados
26;25-29;Masculino;Branca;;;;;;;São Paulo (SP);SP;Sudeste;Empregado (CLT);Varejo;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;;;Modelo 100% remoto;Engenharia de Dados
22;22-24;Feminino;Parda;;;;;;;Alagoas (AL);AL;Nordeste;Empregado (CLT);Tecnologia/Fábrica de Software;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;;;Modelo 100% remoto;Engenharia de Dados
26;25-29;Feminino;Parda;Quantidade de oportunidades de emprego/vagas recebidas;;;;0;0;São Paulo (SP);SP;Sudeste;Empreendedor ou Empregado (CNPJ);Tecnologia/Fábrica de Software;Analista de Suporte/Analista Técnico;Falta de oportunidade de crescimento no emprego atual;1;Modelo 100% remoto;Outra atuação
26;25-29;Masculino;Parda;;;;;;;Espírito Santo (ES);ES;Sudeste;Empregado (CLT);Área de Consultoria;Analista de Dados/Data Analyst;;;Modelo 100% remoto;Análise de Dados
29;25-29;Masculino;Parda;;;;;;;Minas Gerais (MG);MG;Sudeste;Empregado (CLT);Finanças ou Bancos;Analista de Dados/Data Analyst;;;Modelo 100% remoto;Análise de Dados
33;30-34;Masculino;Branca;;;;;;;São Paulo (SP);SP;Sudeste;Empregado (CLT);Finanças ou Bancos;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Engenharia de Dados
30;30-34;Masculino;Preta;Aprovação em processos seletivos/entrevistas, Quantidade de oportunidades de emprego/vagas recebidas, Senioridade das vagas recebidas em relação à sua experiência, Oportunidades de progressão de carreira, Atenção dada pelas pessoas diante das minhas opiniões e ideias;;;;1;0;Pernambuco (PE);PE;Nordeste;Empregado (CLT);Outra Opção;Outra Opção;Falta de oportunidade de crescimento no emprego atual, Gostaria de trabalhar em em outra área de atuação, Falta de maturidade analítica na empresa;1;Modelo 100% presencial;Outra atuação
29;25-29;Masculino;Branca;;;;;;;São Paulo (SP);SP;Sudeste;Empregado (CLT);Outra Opção;Analista de Dados/Data Analyst;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Análise de Dados
28;25-29;Masculino;Branca;;;;;;;São Paulo (SP);SP;Sudeste;Empreendedor ou Empregado (CNPJ);Setor Alimentício;;O clima de trabalho/ambiente não é bom, Salário atual não corresponde ao mercado, Gostaria de receber mais benefícios;0;Modelo 100% remoto;Gestor
35;35-39;Masculino;Branca;;;;;;;Maranhão (MA);MA;Nordeste;Empregado (CLT);Outra Opção;Analista de Negócios/Business Analyst;;;Modelo híbrido com dias fixos de trabalho presencial;Análise de Dados
34;30-34;Masculino;Branca;;;;;;;São Paulo (SP);SP;Sudeste;Empreendedor ou Empregado (CNPJ);Tecnologia/Fábrica de Software;Analista de Dados/Data Analyst;;;Modelo 100% remoto;Análise de Dados
30;30-34;Masculino;Parda;;;;;;;São Paulo (SP);SP;Sudeste;Empregado (CLT);Área da Saúde;Cientista de Dados/Data Scientist;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Engenharia de Dados
47;45-49;Masculino;Branca;;;;;;;São Paulo (SP);SP;Sudeste;Empreendedor ou Empregado (CNPJ);Tecnologia/Fábrica de Software;;;;Modelo 100% presencial;Gestor
41;40-44;Masculino;Branca;;;;;;;Rio de Janeiro (RJ);RJ;Sudeste;Somente Estudante (pós-graduação);;;;;;Buscando oportunidade na área de dados
27;25-29;Feminino;Branca;Quantidade de oportunidades de emprego/vagas recebidas, Senioridade das vagas recebidas em relação à sua experiência, Oportunidades de progressão de carreira, Velocidade de progressão de carreira;;;;1;1;São Paulo (SP);SP;Sudeste;Empregado (CLT);Internet/Ecommerce;Analista de Dados/Data Analyst;;;Modelo 100% remoto;Análise de Dados
38;35-39;Masculino;Branca;;;;;;;Bahia (BA);BA;Nordeste;Empregado (CLT);Finanças ou Bancos;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;;;Modelo 100% remoto;Engenharia de Dados
33;30-34;Masculino;Branca;;;;;;;Rio de Janeiro (RJ);RJ;Sudeste;Empregado (CLT);Setor de Energia;;Falta de oportunidade de crescimento no emprego atual, Salário atual não corresponde ao mercado, Não tenho uma boa relação com meu líder/gestor;1;Modelo 100% presencial;Gestor
40;40-44;Masculino;Branca;;;;;;;São Paulo (SP);SP;Sudeste;Empregado (CLT);Varejo;Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO);;;Modelo 100% remoto;Engenharia de Dados
28;25-29;Masculino;Parda;;;;;;;Alagoas (AL);AL;Nordeste;Empreendedor ou Empregado (CNPJ);Tecnologia/Fábrica de Software;Analista de Dados/Data Analyst;Salário atual não corresponde ao mercado, Falta de oportunidade de crescimento no emprego atual;1;Modelo 100% remoto;Análise de Dados
36;35-39;Feminino;Branca;Quantidade de oportunidades de emprego/vagas recebidas, Senioridade das vagas recebidas em relação à sua experiência, Oportunidades de progressão de carreira, Velocidade de progressão de carreira, Atenção dada pelas pessoas diante das minhas opiniões e ideias, Relação com outros membros da empresa, em momentos de integração e outros momentos fora do trabalho, Relação com outros membros da empresa, em momentos de trabalho, Aprovação em processos seletivos/entrevistas, Nível de cobrança no trabalho / Stress no trabalho;;;;1;1;São Paulo (SP);SP;Sudeste;Empreendedor ou Empregado (CNPJ);Tecnologia/Fábrica de Software;;;;Modelo 100% remoto;Gestor
32;30-34;Masculino;Branca;;;;;;;São Paulo (SP);SP;Sudeste;Empregado (CLT);Finanças ou Bancos;Analista de Dados/Data Analyst;Salário atual não corresponde ao mercado, Falta de maturidade analítica na empresa;0;Modelo 100% remoto;Análise de Dados
25;25-29;Feminino;Parda;;;;;;;Minas Gerais (MG);MG;Sudeste;Empregado (CLT);Tecnologia/Fábrica de Software;Analista de Dados/Data Analyst;Salário atual não corresponde ao mercado, Falta de oportunidade de crescimento no emprego atual;1;Modelo 100% remoto;Ciência de Dados
25;25-29;Feminino;Branca;;;;;;;São Paulo (SP);SP;Sudeste;Empregado (CLT);Tecnologia/Fábrica de Software;Analista de BI/BI Analyst;;;Modelo 100% remoto;Análise de Dados
25;25-29;Feminino;Preta;Nível de cobrança no trabalho / Stress no trabalho, Relação com outros membros da empresa, em momentos de integração e outros momentos fora do trabalho, Relação com outros membros da empresa, em momentos de trabalho;;;;0;0;Bahia (BA);BA;Nordeste;Empregado (CLT);Outra Opção;Analista de Dados/Data Analyst;;;Modelo 100% remoto;Análise de Dados
28;25-29;Feminino;Branca;Senioridade das vagas recebidas em relação à sua experiência, Aprovação em processos seletivos/entrevistas, Oportunidades de progressão de carreira, Velocidade de progressão de carreira, Nível de cobrança no trabalho / Stress no trabalho, Atenção dada pelas pessoas diante das minhas opiniões e ideias;;;;1;1;Minas Gerais (MG);MG;Sudeste;Empregado (CLT);Finanças ou Bancos;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;;;Modelo híbrido com dias fixos de trabalho presencial;Análise de Dados
32;30-34;Masculino;Branca;;;;;;;Minas Gerais (MG);MG;Sudeste;Empregado (CLT);Finanças ou Bancos;Analista de Dados/Data Analyst;Falta de oportunidade de crescimento no emprego atual;1;Modelo 100% presencial;Análise de Dados
26;25-29;Masculino;Branca;;;;;;;São Paulo (SP);SP;Sudeste;Empregado (CLT);Finanças ou Bancos;Cientista de Dados/Data Scientist;;;Modelo híbrido com dias fixos de trabalho presencial;Ciência de Dados
42;40-44;Masculino;Amarela;;;;;;;Espírito Santo (ES);ES;Sudeste;Desempregado, buscando recolocação;;;;;;Outra atuação
39;35-39;Masculino;Parda;;;;;;;Minas Gerais (MG);MG;Sudeste;Trabalho na área Acadêmica/Pesquisador;;;;;;Outra atuação
43;40-44;Feminino;Preta;Aprovação em processos seletivos/entrevistas, Velocidade de progressão de carreira, Relação com outros membros da empresa, em momentos de integração e outros momentos fora do trabalho;;;;0;1;Minas Gerais (MG);MG;Sudeste;Empregado (CLT);Tecnologia/Fábrica de Software;;Falta de oportunidade de crescimento no emprego atual, Salário atual não corresponde ao mercado;1;Modelo 100% remoto;Gestor
27;25-29;Masculino;Branca;;;;;;;Distrito Federal (DF);DF;Centro-oeste;Empregado (CLT);Setor Alimentício;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;;;Modelo 100% remoto;Engenharia de Dados
41;40-44;Masculino;Preta;;;;;;;São Paulo (SP);SP;Sudeste;Empregado (CLT);Setor Público;;Falta de oportunidade de crescimento no emprego atual, Salário atual não corresponde ao mercado, Gostaria de trabalhar em em outra área de atuação;1;Modelo 100% presencial;Gestor
37;35-39;Masculino;Branca;;;;;;;São Paulo (SP);SP;Sudeste;Empregado (CLT);Setor Farmaceutico;;;;Modelo híbrido com dias fixos de trabalho presencial;Gestor
24;22-24;Masculino;Branca;;;;;;;Minas Gerais (MG);MG;Sudeste;Empreendedor ou Empregado (CNPJ);Área de Consultoria;Cientista de Dados/Data Scientist;;;Modelo 100% remoto;Ciência de Dados
28;25-29;Feminino;Branca;Senioridade das vagas recebidas em relação à sua experiência, Quantidade de oportunidades de emprego/vagas recebidas, Aprovação em processos seletivos/entrevistas, Velocidade de progressão de carreira, Nível de cobrança no trabalho / Stress no trabalho, Atenção dada pelas pessoas diante das minhas opiniões e ideias;;;;0;1;São Paulo (SP);SP;Sudeste;Empreendedor ou Empregado (CNPJ);Tecnologia/Fábrica de Software;Analista de Negócios/Business Analyst;Gostaria de receber mais benefícios, Salário atual não corresponde ao mercado, Falta de oportunidade de crescimento no emprego atual;1;Modelo 100% remoto;Outra atuação
27;25-29;Masculino;Branca;;;;;;;São Paulo (SP);SP;Sudeste;Empregado (CLT);Internet/Ecommerce;;;;Modelo 100% remoto;Gestor
32;30-34;Feminino;Branca;Velocidade de progressão de carreira, Relação com outros membros da empresa, em momentos de trabalho, Relação com outros membros da empresa, em momentos de integração e outros momentos fora do trabalho, Atenção dada pelas pessoas diante das minhas opiniões e ideias, Senioridade das vagas recebidas em relação à sua experiência;;;;0;1;São Paulo (SP);SP;Sudeste;Empregado (CLT);Varejo;;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Gestor
26;25-29;Masculino;Branca;;;;;;;Rio Grande do Sul (RS);RS;Sul;Empregado (CLT);Área de Consultoria;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;;;Modelo 100% remoto;Engenharia de Dados
24;22-24;Masculino;Branca;;;;;;;São Paulo (SP);SP;Sudeste;Empregado (CLT);Finanças ou Bancos;Outra Opção;Gostaria de trabalhar em em outra área de atuação, Salário atual não corresponde ao mercado;0;Modelo 100% presencial;Ciência de Dados
32;30-34;Masculino;Branca;;;;;;;Minas Gerais (MG);MG;Sudeste;Empregado (CLT);Educação;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;;;Modelo 100% remoto;Engenharia de Dados
28;25-29;Masculino;Branca;;;;;;;Rio Grande do Sul (RS);RS;Sul;Empregado (CLT);Área de Consultoria;Cientista de Dados/Data Scientist;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Ciência de Dados
39;35-39;Feminino;Branca;;;;;;;;;;Empregado (CLT);Varejo;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;;;Modelo 100% remoto;Engenharia de Dados
27;25-29;Feminino;Branca;Atenção dada pelas pessoas diante das minhas opiniões e ideias, Nível de cobrança no trabalho / Stress no trabalho;;;;0;0;Rio Grande do Sul (RS);RS;Sul;Empregado (CLT);Área da Saúde;Analista de Dados/Data Analyst;;;Modelo 100% remoto;Análise de Dados
45;45-49;Masculino;Branca;;;;;;;Rio Grande do Sul (RS);RS;Sul;Desempregado, buscando recolocação;;;;;;Buscando oportunidade na área de dados
27;25-29;Masculino;Parda;;;;;;;Goiás (GO);GO;Centro-oeste;Empregado (CLT);Agronegócios;Analista de Negócios/Business Analyst;Falta de oportunidade de crescimento no emprego atual, O clima de trabalho/ambiente não é bom;1;Modelo 100% presencial;Análise de Dados
33;30-34;Masculino;Branca;;;;;;;Santa Catarina (SC);SC;Sul;Empregado (CLT);Indústria;Analista de Negócios/Business Analyst;Gostaria de receber mais benefícios, Falta de maturidade analítica na empresa, Gostaria de trabalhar em em outra área de atuação;0;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Outra atuação
35;35-39;Masculino;Parda;;;;;;;São Paulo (SP);SP;Sudeste;Empregado (CLT);Indústria;Analista de Negócios/Business Analyst;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Outra atuação
64;55+;Feminino;Branca;Quantidade de oportunidades de emprego/vagas recebidas, Velocidade de progressão de carreira, Atenção dada pelas pessoas diante das minhas opiniões e ideias;;;;0;1;Rio Grande do Sul (RS);RS;Sul;Empreendedor ou Empregado (CNPJ);Área de Consultoria;;;;Modelo híbrido com dias fixos de trabalho presencial;Gestor
53;50-54;Masculino;Parda;;;;;;;Distrito Federal (DF);DF;Centro-oeste;Empreendedor ou Empregado (CNPJ);Área da Saúde;;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Gestor
31;30-34;Feminino;Branca;Senioridade das vagas recebidas em relação à sua experiência, Velocidade de progressão de carreira, Atenção dada pelas pessoas diante das minhas opiniões e ideias;;;;0;1;Minas Gerais (MG);MG;Sudeste;Empregado (CLT);Tecnologia/Fábrica de Software;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Não tenho uma boa relação com meu líder/gestor, Gostaria de trabalhar em em outra área de atuação;0;Modelo 100% remoto;Engenharia de Dados
35;35-39;Masculino;Branca;;;;;;;Santa Catarina (SC);SC;Sul;Desempregado, buscando recolocação;;;;;;Outra atuação
34;30-34;Masculino;Parda;Quantidade de oportunidades de emprego/vagas recebidas, Velocidade de progressão de carreira, Aprovação em processos seletivos/entrevistas, Oportunidades de progressão de carreira, Senioridade das vagas recebidas em relação à sua experiência, Nível de cobrança no trabalho / Stress no trabalho, Atenção dada pelas pessoas diante das minhas opiniões e ideias, Relação com outros membros da empresa, em momentos de trabalho, Relação com outros membros da empresa, em momentos de integração e outros momentos fora do trabalho;;;;1;1;Espírito Santo (ES);ES;Sudeste;Empregado (CLT);Tecnologia/Fábrica de Software;Analista de Dados/Data Analyst;;;Modelo 100% remoto;Análise de Dados
29;25-29;Feminino;Parda;Atenção dada pelas pessoas diante das minhas opiniões e ideias, Relação com outros membros da empresa, em momentos de trabalho, Relação com outros membros da empresa, em momentos de integração e outros momentos fora do trabalho;;;;0;0;Paraná (PR);PR;Sul;Empregado (CLT);Outra Opção;Cientista de Dados/Data Scientist;;;Modelo 100% remoto;Ciência de Dados
38;35-39;Masculino;Parda;;;;;;;São Paulo (SP);SP;Sudeste;Empreendedor ou Empregado (CNPJ);Tecnologia/Fábrica de Software;Analista de Dados/Data Analyst;;;Modelo 100% remoto;Ciência de Dados
30;30-34;Masculino;Branca;;;;;;;São Paulo (SP);SP;Sudeste;Empreendedor ou Empregado (CNPJ);Telecomunicação;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Engenharia de Dados
29;25-29;Masculino;Parda;;;;;;;Minas Gerais (MG);MG;Sudeste;Empregado (CLT);Finanças ou Bancos;Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO);;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Análise de Dados
21;17-21;Masculino;Branca;;;;;;;São Paulo (SP);SP;Sudeste;Empregado (CLT);Outra Opção;Analista de Dados/Data Analyst;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Análise de Dados
33;30-34;Masculino;Branca;;;;;;;Rio de Janeiro (RJ);RJ;Sudeste;Empregado (CLT);Setor de Energia;Cientista de Dados/Data Scientist;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Engenharia de Dados
25;25-29;Masculino;Branca;;;;;;;Rio de Janeiro (RJ);RJ;Sudeste;Empregado (CLT);Educação;Analista de BI/BI Analyst;Falta de oportunidade de crescimento no emprego atual, Salário atual não corresponde ao mercado, Gostaria de receber mais benefícios;1;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Análise de Dados
60;55+;Masculino;Branca;;;;;;;Distrito Federal (DF);DF;Centro-oeste;Empregado (CLT);Finanças ou Bancos;Outra Opção;;;Modelo híbrido com dias fixos de trabalho presencial;Outra atuação
21;17-21;Masculino;Preta;;;;;;;São Paulo (SP);SP;Sudeste;Empregado (CLT);Outra Opção;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Engenharia de Dados
40;40-44;Masculino;Branca;;;;;;;São Paulo (SP);SP;Sudeste;Empregado (CLT);Outra Opção;Cientista de Dados/Data Scientist;;;Modelo 100% remoto;Ciência de Dados
26;25-29;Masculino;Parda;Quantidade de oportunidades de emprego/vagas recebidas, Relação com outros membros da empresa, em momentos de integração e outros momentos fora do trabalho, Oportunidades de progressão de carreira;;;;1;0;Pará (PA);PA;Norte;Empregado (CLT);Indústria;Cientista de Dados/Data Scientist;;;Modelo 100% remoto;Ciência de Dados
26;25-29;Masculino;Parda;;;;;;;Minas Gerais (MG);MG;Sudeste;Desempregado, buscando recolocação;;;;;;Buscando oportunidade na área de dados
26;25-29;Feminino;Branca;Velocidade de progressão de carreira, Nível de cobrança no trabalho / Stress no trabalho, Atenção dada pelas pessoas diante das minhas opiniões e ideias, Relação com outros membros da empresa, em momentos de trabalho, Relação com outros membros da empresa, em momentos de integração e outros momentos fora do trabalho;;;;0;1;São Paulo (SP);SP;Sudeste;Empregado (CLT);Finanças ou Bancos;Analista de Negócios/Business Analyst;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Análise de Dados
43;40-44;Masculino;Branca;;;;;;;Santa Catarina (SC);SC;Sul;Empregado (CLT);Setor Alimentício;DBA/Administrador de Banco de Dados;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Outra atuação
28;25-29;Masculino;Parda;;;;;;;;;;Prefiro não informar;Marketing;Cientista de Dados/Data Scientist;;;Modelo 100% remoto;Ciência de Dados
27;25-29;Masculino;Parda;Senioridade das vagas recebidas em relação à sua experiência, Aprovação em processos seletivos/entrevistas, Oportunidades de progressão de carreira;;;;1;0;São Paulo (SP);SP;Sudeste;Empregado (CLT);Seguros ou Previdência;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Engenharia de Dados
37;35-39;Feminino;Preta;Aprovação em processos seletivos/entrevistas;;;;0;0;São Paulo (SP);SP;Sudeste;Desempregado, buscando recolocação;;;;;;Buscando oportunidade na área de dados
25;25-29;Masculino;Preta;Velocidade de progressão de carreira, Oportunidades de progressão de carreira, Relação com outros membros da empresa, em momentos de trabalho, Relação com outros membros da empresa, em momentos de integração e outros momentos fora do trabalho;;;;1;1;Minas Gerais (MG);MG;Sudeste;Empregado (CLT);Área de Consultoria;Analista de Dados/Data Analyst;Salário atual não corresponde ao mercado, Gostaria de trabalhar em em outra área de atuação;0;Modelo híbrido com dias fixos de trabalho presencial;Análise de Dados
26;25-29;Masculino;Parda;;;;;;;Bahia (BA);BA;Nordeste;Empregado (CLT);Finanças ou Bancos;Analista de Dados/Data Analyst;;;Modelo 100% remoto;Análise de Dados
20;17-21;Feminino;Branca;Relação com outros membros da empresa, em momentos de trabalho, Atenção dada pelas pessoas diante das minhas opiniões e ideias, Velocidade de progressão de carreira, Quantidade de oportunidades de emprego/vagas recebidas;;;;0;1;São Paulo (SP);SP;Sudeste;Empregado (CLT);Finanças ou Bancos;Cientista de Dados/Data Scientist;;;Modelo híbrido com dias fixos de trabalho presencial;Análise de Dados
38;35-39;Feminino;Branca;;;;;;;Espírito Santo (ES);ES;Sudeste;Empregado (CLT);Outra Opção;Analista de BI/BI Analyst;;;Modelo 100% presencial;Análise de Dados
39;35-39;Masculino;Branca;;;;;;;Minas Gerais (MG);MG;Sudeste;Empregado (CLT);Finanças ou Bancos;Analista de Dados/Data Analyst;;;Modelo 100% remoto;Análise de Dados
30;30-34;Feminino;Branca;Velocidade de progressão de carreira, Atenção dada pelas pessoas diante das minhas opiniões e ideias, Relação com outros membros da empresa, em momentos de trabalho;;;;0;1;São Paulo (SP);SP;Sudeste;Empregado (CLT);Indústria;Analista de Dados/Data Analyst;;;Modelo híbrido com dias fixos de trabalho presencial;Análise de Dados
28;25-29;Masculino;Branca;;;;;;;Alagoas (AL);AL;Nordeste;Empreendedor ou Empregado (CNPJ);Área de Consultoria;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Falta de oportunidade de crescimento no emprego atual, Gostaria de trabalhar em em outra área de atuação, Gostaria de receber mais benefícios;1;Modelo 100% remoto;Engenharia de Dados
30;30-34;Masculino;Parda;;;;;;;São Paulo (SP);SP;Sudeste;Empregado (CLT);Finanças ou Bancos;Analista de Negócios/Business Analyst;;;Modelo híbrido com dias fixos de trabalho presencial;Análise de Dados
28;25-29;Feminino;Parda;;;;;;;Espírito Santo (ES);ES;Sudeste;Empregado (CLT);Varejo;Analista de Dados/Data Analyst;;;Modelo 100% presencial;Análise de Dados
32;30-34;Masculino;Parda;Nível de cobrança no trabalho / Stress no trabalho, Atenção dada pelas pessoas diante das minhas opiniões e ideias, Relação com outros membros da empresa, em momentos de trabalho, Relação com outros membros da empresa, em momentos de integração e outros momentos fora do trabalho, Quantidade de oportunidades de emprego/vagas recebidas, Aprovação em processos seletivos/entrevistas;;;;0;0;São Paulo (SP);SP;Sudeste;Desempregado, buscando recolocação;;;;;;Buscando oportunidade na área de dados
34;30-34;Masculino;Branca;;;;;;;Piauí (PI);PI;Nordeste;Desempregado, buscando recolocação;;;;;;Buscando oportunidade na área de dados
40;40-44;Masculino;Branca;;;;;;;Rio Grande do Sul (RS);RS;Sul;Empregado (CLT);Tecnologia/Fábrica de Software;Outra Opção;Falta de oportunidade de crescimento no emprego atual, Salário atual não corresponde ao mercado, Falta de maturidade analítica na empresa;1;Modelo 100% presencial;Outra atuação
28;25-29;Masculino;Branca;;;;;;;Mato Grosso (MT);MT;Centro-oeste;Empregado (CLT);Finanças ou Bancos;Analista de BI/BI Analyst;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Análise de Dados
29;25-29;Masculino;Branca;;;;;;;Pernambuco (PE);PE;Nordeste;Empregado (CLT);Área da Saúde;;;;Modelo 100% presencial;Gestor
30;30-34;Masculino;Branca;;;;;;;Distrito Federal (DF);DF;Centro-oeste;Empregado (CLT);Finanças ou Bancos;Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas;;;Modelo híbrido com dias fixos de trabalho presencial;Engenharia de Dados
39;35-39;Feminino;Branca;Aprovação em processos seletivos/entrevistas, Velocidade de progressão de carreira, Relação com outros membros da empresa, em momentos de trabalho;;;;0;1;Rio Grande do Sul (RS);RS;Sul;Empregado (CLT);Finanças ou Bancos;Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO);;;Modelo híbrido com dias fixos de trabalho presencial;Outra atuação
33;30-34;Feminino;Branca;Quantidade de oportunidades de emprego/vagas recebidas, Senioridade das vagas recebidas em relação à sua experiência, Aprovação em processos seletivos/entrevistas;;;;0;0;Bahia (BA);BA;Nordeste;Empregado (CLT);Finanças ou Bancos;Cientista de Dados/Data Scientist;;;Modelo 100% remoto;Ciência de Dados
29;25-29;Masculino;Parda;Atenção dada pelas pessoas diante das minhas opiniões e ideias;;;;0;0;São Paulo (SP);SP;Sudeste;Empregado (CLT);Indústria;Analista de Dados/Data Analyst;;;Modelo 100% remoto;Análise de Dados
26;25-29;Masculino;Branca;;;;;;;São Paulo (SP);SP;Sudeste;Empregado (CLT);Setor de Energia;Analista de Dados/Data Analyst;;;Modelo híbrido com dias fixos de trabalho presencial;Análise de Dados
23;22-24;Masculino;Parda;;;;;;;Paraíba (PB);PB;Nordeste;Freelancer;Área de Consultoria;Engenheiro de Machine Learning/ML Engineer/AI Engineer;Gostaria de receber mais benefícios;0;Modelo 100% remoto;Ciência de Dados
43;40-44;Masculino;Parda;;;;;;;São Paulo (SP);SP;Sudeste;Empregado (CLT);Setor de Energia;Analista de BI/BI Analyst;Não tenho uma boa relação com meu líder/gestor;0;Modelo 100% presencial;Análise de Dados
25;25-29;Masculino;Branca;;;;;;;Minas Gerais (MG);MG;Sudeste;Servidor Público;Setor Público;Analista de BI/BI Analyst;Falta de oportunidade de crescimento no emprego atual;1;Modelo híbrido com dias fixos de trabalho presencial;Outra atuação
35;35-39;Masculino;Branca;;;;;;;Paraíba (PB);PB;Nordeste;Desempregado, buscando recolocação;;;;;;Buscando oportunidade na área de dados
26;25-29;Feminino;Branca;;;;;;;Paraná (PR);PR;Sul;Empregado (CLT);Varejo;Engenheiro de Machine Learning/ML Engineer/AI Engineer;;;Modelo 100% remoto;Ciência de Dados
27;25-29;Masculino;Branca;;;;;;;Minas Gerais (MG);MG;Sudeste;Empregado (CLT);Finanças ou Bancos;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;;;Modelo 100% remoto;Engenharia de Dados
32;30-34;Masculino;Branca;;;;;;;Distrito Federal (DF);DF;Centro-oeste;Empregado (CLT);Área de Consultoria;;;;Modelo 100% presencial;Gestor
31;30-34;Masculino;Parda;;;;;;;Bahia (BA);BA;Nordeste;Empregado (CLT);Tecnologia/Fábrica de Software;Analista de Dados/Data Analyst;;;Modelo 100% remoto;Análise de Dados
43;40-44;Feminino;Branca;Quantidade de oportunidades de emprego/vagas recebidas, Aprovação em processos seletivos/entrevistas, Oportunidades de progressão de carreira, Velocidade de progressão de carreira, Nível de cobrança no trabalho / Stress no trabalho, Atenção dada pelas pessoas diante das minhas opiniões e ideias;;;;1;1;São Paulo (SP);SP;Sudeste;Empregado (CLT);Telecomunicação;;;;Modelo híbrido com dias fixos de trabalho presencial;Gestor
